Date,Open,Close,High,Low,Volume,Typical_Price,lrets
2018-04-04,1358.23999,1410.569946,1415.390015,1352.880005,6982300,1392.9466553333332,1.3216323730410373
2018-04-05,1441.98999,1451.75,1459.560059,1427.069946,6413500,1446.1266683333333,2.8775885532360768
2018-04-06,1429.969971,1405.22998,1452.5,1400.26001,5882300,1419.3299966666666,-3.256874904680096
2018-04-09,1425.030029,1406.079956,1438.47998,1402.569946,4208200,1415.7099606666668,0.06046832581603212
2018-04-10,1431.98999,1436.219971,1438.380005,1415.699951,4254100,1430.0999756666668,2.12089825609425
2018-04-11,1439.439941,1427.050049,1448.780029,1424.890015,3582500,1433.5733643333333,-0.6405231282495372
2018-04-12,1439.5,1448.5,1452.119995,1435.060059,3135000,1445.2266846666669,1.4919127467439175
2018-04-13,1449.140015,1430.790039,1459.780029,1424.52002,3685300,1438.3633626666667,-1.230177168830604
2018-04-16,1445.0,1441.5,1447.0,1427.47998,2808600,1438.6599933333334,0.7457471557358097
2018-04-17,1462.300049,1503.829956,1507.189941,1457.02002,5114400,1489.346639,4.233091986921966
2018-04-18,1514.650024,1527.839966,1533.800049,1504.109985,5227500,1521.9166666666667,1.583979300057603
2018-04-19,1543.219971,1556.910034,1568.52002,1539.060059,6523700,1554.8300376666666,1.8848158584980013
2018-04-20,1561.199951,1527.48999,1561.199951,1516.089966,5541600,1534.9266356666667,-1.9077250700443749
2018-04-23,1546.689941,1517.859985,1548.0,1503.410034,4465400,1523.0900063333331,-0.6324420626649285
2018-04-24,1535.800049,1460.089966,1539.5,1448.449951,7494700,1482.6799723333334,-3.8803383854280504
2018-04-25,1458.0,1460.170044,1469.98999,1415.02002,6587300,1448.3933513333334,0.005484306174530218
2018-04-26,1485.01001,1517.959961,1529.420044,1478.5,8801100,1508.6266683333333,3.8814405041280864
2018-04-27,1634.01001,1572.619995,1638.099976,1567.390015,13053200,1592.7033286666665,3.537571263444317
2018-04-30,1582.5,1566.130005,1596.0,1560.939941,5464100,1574.3566486666666,-0.41354037429410795
2018-05-01,1563.219971,1582.26001,1585.0,1552.180054,4572100,1573.146688,1.0246599722891325
2018-05-02,1580.97998,1569.680054,1588.5,1566.359985,4360300,1574.8466796666664,-0.7982399755516845
2018-05-03,1560.01001,1572.079956,1574.800049,1546.02002,4251900,1564.3000083333334,0.1527743977352003
2018-05-04,1562.449951,1580.949951,1584.900024,1562.189941,3443600,1576.0133053333332,0.5626345870789251
2018-05-07,1589.339966,1600.140015,1606.949951,1587.829956,3801900,1598.3066406666667,1.206523361224754
2018-05-08,1595.0,1592.390015,1596.880005,1582.51001,3067900,1590.5933433333332,-0.48550930770927536
2018-05-09,1600.0,1608.0,1608.0,1592.0,3637300,1602.6666666666667,0.9755129041853827
2018-05-10,1608.47998,1609.079956,1615.599976,1603.439941,2817500,1609.3732909999999,0.06713889958209762
2018-05-11,1610.98999,1602.910034,1611.099976,1597.890015,2263900,1603.966675,-0.38418112185665265
2018-05-14,1604.0,1601.540039,1611.180054,1600.050049,2509500,1604.2567139999999,-0.08550578428501154
